region,date,max_ndvi
anwr,2017-07-28,8572
anwr,2017-08-13,8138
anwr,2017-08-29,9918
anwr,2017-09-14,9893
anwr,2017-09-30,9517
anwr,2017-10-16,1091
anwr,2017-11-01,892
anwr,2017-11-17,0
anwr,2017-12-03,0
anwr,2017-12-19,0
anwr,2018-01-01,0
anwr,2018-01-17,0
anwr,2018-02-02,557
anwr,2018-02-18,630
anwr,2018-03-06,353
anwr,2018-03-22,139
anwr,2018-04-07,6000
anwr,2018-04-23,2387
anwr,2018-05-09,5693
anwr,2018-05-25,6845
anwr,2018-06-10,7271
anwr,2018-06-26,8334
anwr,2018-07-12,8188
anwr,2018-07-28,8671
anwr,2018-08-13,8387
anwr,2018-08-29,9537
anwr,2018-09-14,9761
anwr,2018-09-30,7305
anwr,2018-10-16,866
anwr,2018-11-01,537
anwr,2018-11-17,0
anwr,2018-12-03,0
anwr,2018-12-19,0
anwr,2019-01-01,0
anwr,2019-01-17,0
anwr,2019-02-02,670
anwr,2019-02-18,551
anwr,2019-03-06,330
anwr,2019-03-22,479
anwr,2019-04-07,648
anwr,2019-04-23,2370
anwr,2019-05-09,9653
anwr,2019-05-25,7321
anwr,2019-06-10,9877
anwr,2019-06-26,9689
anwr,2019-07-12,8385
anwr,2019-07-28,8504
anwr,2019-08-13,8732
anwr,2019-08-29,8515
anwr,2019-09-14,9871
anwr,2019-09-30,8449
anwr,2019-10-16,3460
anwr,2019-11-01,2523
anwr,2019-11-17,0
anwr,2019-12-03,0
anwr,2019-12-19,0
anwr,2020-01-01,0
anwr,2020-01-17,0
anwr,2020-02-02,546
anwr,2020-02-18,459
anwr,2020-03-05,267
anwr,2020-03-21,336
anwr,2020-04-06,4489
anwr,2020-04-22,453
anwr,2020-05-08,6844
anwr,2020-05-24,6742
anwr,2020-06-09,9898
anwr,2020-06-25,9995
anwr,2020-07-11,9224
anwr,2020-07-27,8480
anwr,2020-08-12,7333
anwr,2020-08-28,9746
anwr,2020-09-13,9969
anwr,2020-09-29,9957
anwr,2020-10-15,2860
anwr,2020-10-31,0
anwr,2020-11-16,0
anwr,2020-12-02,0
anwr,2020-12-18,0
anwr,2021-01-01,0
anwr,2021-01-17,0
anwr,2021-02-02,1094
anwr,2021-02-18,670
anwr,2021-03-06,533
anwr,2021-03-22,363
anwr,2021-04-07,728
anwr,2021-04-23,9331
anwr,2021-05-09,8651
anwr,2021-05-25,8667
anwr,2021-06-10,9716
anwr,2021-06-26,9564
anwr,2021-07-12,8598
anwr,2021-07-28,8502
prudhoebay,2000-02-18,35
prudhoebay,2000-03-05,196
prudhoebay,2000-03-21,291
prudhoebay,2000-04-06,790
prudhoebay,2000-04-22,664
prudhoebay,2000-05-08,729
prudhoebay,2000-05-24,5507
prudhoebay,2000-06-09,7360
prudhoebay,2000-06-25,7640
prudhoebay,2000-07-11,7963
prudhoebay,2000-07-27,7885
prudhoebay,2000-08-12,7241
prudhoebay,2000-08-28,6674
prudhoebay,2000-09-13,5790
prudhoebay,2000-09-29,594
prudhoebay,2000-10-15,172
prudhoebay,2000-10-31,0
prudhoebay,2000-11-16,0
prudhoebay,2000-12-02,0
prudhoebay,2000-12-18,0
prudhoebay,2001-01-01,0
prudhoebay,2001-01-17,0
prudhoebay,2001-02-02,430
prudhoebay,2001-02-18,934
prudhoebay,2001-03-06,331
prudhoebay,2001-03-22,235
prudhoebay,2001-04-07,902
prudhoebay,2001-04-23,699
prudhoebay,2001-05-09,2007
prudhoebay,2001-05-25,5538
prudhoebay,2001-06-10,5738
prudhoebay,2001-06-26,7612
prudhoebay,2001-07-12,7832
prudhoebay,2001-07-28,7567
prudhoebay,2001-08-13,6938
prudhoebay,2001-08-29,5937
prudhoebay,2001-09-14,5840
prudhoebay,2001-09-30,8138
prudhoebay,2001-10-16,214
prudhoebay,2001-11-01,0
prudhoebay,2001-11-17,0
prudhoebay,2001-12-03,0
prudhoebay,2001-12-19,0
prudhoebay,2002-01-01,0
prudhoebay,2002-01-17,0
prudhoebay,2002-02-02,0
prudhoebay,2002-02-18,547
prudhoebay,2002-03-06,267
prudhoebay,2002-03-22,289
prudhoebay,2002-04-07,375
prudhoebay,2002-04-23,530
prudhoebay,2002-05-09,5564
prudhoebay,2002-05-25,5935
prudhoebay,2002-06-10,6842
prudhoebay,2002-06-26,7543
prudhoebay,2002-07-12,7657
prudhoebay,2002-07-28,7626
prudhoebay,2002-08-13,6511
prudhoebay,2002-08-29,5833
prudhoebay,2002-09-14,5745
prudhoebay,2002-09-30,5712
prudhoebay,2002-10-16,610
prudhoebay,2002-11-01,645
prudhoebay,2002-11-17,0
prudhoebay,2002-12-03,0
prudhoebay,2002-12-19,0
prudhoebay,2003-01-01,0
prudhoebay,2003-01-17,0
prudhoebay,2003-02-02,375
prudhoebay,2003-02-18,256
prudhoebay,2003-03-06,0
prudhoebay,2003-03-22,0
prudhoebay,2003-04-07,26
prudhoebay,2003-04-23,613
prudhoebay,2003-05-09,4672
prudhoebay,2003-05-25,5581
prudhoebay,2003-06-10,6293
prudhoebay,2003-06-26,7898
prudhoebay,2003-07-12,7860
prudhoebay,2003-07-28,7736
prudhoebay,2003-08-13,6892
prudhoebay,2003-08-29,6263
prudhoebay,2003-09-14,9692
prudhoebay,2003-09-30,3896
prudhoebay,2003-10-16,950
prudhoebay,2003-11-01,1012
prudhoebay,2003-11-17,0
prudhoebay,2003-12-03,0
prudhoebay,2003-12-19,0
prudhoebay,2004-01-01,0
prudhoebay,2004-01-17,0
prudhoebay,2004-02-02,673
prudhoebay,2004-02-18,595
prudhoebay,2004-03-05,486
prudhoebay,2004-03-21,0
prudhoebay,2004-04-06,726
prudhoebay,2004-04-22,4222
prudhoebay,2004-05-08,5339
prudhoebay,2004-05-24,6334
prudhoebay,2004-06-09,7471
prudhoebay,2004-06-25,7714
prudhoebay,2004-07-11,8063
prudhoebay,2004-07-27,7873
prudhoebay,2004-08-12,7101
prudhoebay,2004-08-28,6927
prudhoebay,2004-09-13,6133
prudhoebay,2004-09-29,824
prudhoebay,2004-10-15,692
prudhoebay,2004-10-31,144
prudhoebay,2004-11-16,0
prudhoebay,2004-12-02,0
prudhoebay,2004-12-18,0
prudhoebay,2005-01-01,0
prudhoebay,2005-01-17,0
prudhoebay,2005-02-02,591
prudhoebay,2005-02-18,15
prudhoebay,2005-03-06,654
prudhoebay,2005-03-22,187
prudhoebay,2005-04-07,427
prudhoebay,2005-04-23,1847
prudhoebay,2005-05-09,5952
prudhoebay,2005-05-25,6121
prudhoebay,2005-06-10,7008
prudhoebay,2005-06-26,7462
prudhoebay,2005-07-12,7800
prudhoebay,2005-07-28,7541
prudhoebay,2005-08-13,7044
prudhoebay,2005-08-29,6095
prudhoebay,2005-09-14,5791
prudhoebay,2005-09-30,8236
prudhoebay,2005-10-16,1595
prudhoebay,2005-11-01,0
prudhoebay,2005-11-17,0
prudhoebay,2005-12-03,0
prudhoebay,2005-12-19,0
prudhoebay,2006-01-01,0
prudhoebay,2006-01-17,0
prudhoebay,2006-02-02,542
prudhoebay,2006-02-18,591
prudhoebay,2006-03-06,583
prudhoebay,2006-03-22,202
prudhoebay,2006-04-07,395
prudhoebay,2006-04-23,750
prudhoebay,2006-05-09,5172
prudhoebay,2006-05-25,5594
prudhoebay,2006-06-10,7312
prudhoebay,2006-06-26,7812
prudhoebay,2006-07-12,7743
prudhoebay,2006-07-28,7745
prudhoebay,2006-08-13,7492
prudhoebay,2006-08-29,6056
prudhoebay,2006-09-14,6116
prudhoebay,2006-09-30,8318
